epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,372.14,1.00232,0.8377,0.98537,0.92369,0.97325,0.9863,0.51312,1.37188,0.88194,1.2383,0.000901699,0.000901699,0.000901699
43,381.16,1.00223,0.86691,1.00868,0.92159,0.96009,0.98741,0.52132,1.37339,0.97575,1.25039,0.000888838,0.000888838,0.000888838
44,390.079,0.98782,0.80877,0.9738,0.8371,0.95836,0.92704,0.50153,1.37789,1.03255,1.28331,0.000875977,0.000875977,0.000875977
45,398.895,0.9482,0.82741,0.97224,0.85774,0.97995,0.92704,0.47158,1.43466,0.96179,1.31169,0.000863116,0.000863116,0.000863116
46,409.686,0.98434,0.8245,1.00728,0.85949,1,0.93037,0.46859,1.41946,0.8944,1.28545,0.000850255,0.000850255,0.000850255
47,419.15,0.9376,0.83576,1.00684,0.86074,1,0.92815,0.50989,1.41484,0.8879,1.26196,0.000837394,0.000837394,0.000837394
48,428.615,0.92841,0.78129,0.9628,0.86741,1,0.92481,0.47441,1.4096,0.86325,1.23766,0.000824533,0.000824533,0.000824533
49,438.212,0.9568,0.74754,0.96557,0.83074,1,0.89941,0.45374,1.42971,0.86719,1.24663,0.000811672,0.000811672,0.000811672
50,447.235,0.96047,0.76864,0.94042,0.87175,1,0.96435,0.48351,1.47479,0.83863,1.26915,0.000798811,0.000798811,0.000798811
51,456.173,0.94666,0.74231,0.96094,0.91739,0.99521,0.99074,0.49273,1.47582,0.86322,1.26768,0.00078595,0.00078595,0.00078595
52,465.007,0.97284,0.78334,1.00351,0.94517,0.98509,0.98426,0.52241,1.38434,0.83491,1.20229,0.000773089,0.000773089,0.000773089
53,474.147,0.96834,0.7669,0.98701,0.96092,0.99593,0.98537,0.5343,1.34925,0.85522,1.19973,0.000760228,0.000760228,0.000760228
54,483.194,0.9694,0.82043,0.99025,0.81354,0.99986,0.90563,0.49762,1.3471,0.83715,1.21311,0.000747367,0.000747367,0.000747367
55,492.142,0.92673,0.74433,0.96263,0.94753,0.97424,0.98426,0.45538,1.39987,0.84675,1.23318,0.000734506,0.000734506,0.000734506
56,501.089,0.90031,0.76349,0.97448,0.95546,0.96888,0.98315,0.45976,1.45241,0.85528,1.25769,0.000721645,0.000721645,0.000721645
57,510.269,0.9567,0.77306,0.97514,0.96202,0.98162,0.98204,0.44177,1.46014,0.83451,1.25728,0.000708784,0.000708784,0.000708784
58,519.242,0.97008,0.77873,1.00319,0.95504,0.99808,0.9787,0.45428,1.40375,0.79424,1.22804,0.000695923,0.000695923,0.000695923
59,528.251,0.92639,0.72525,0.98082,0.94833,1,0.97981,0.46798,1.39132,0.77157,1.22049,0.000683062,0.000683062,0.000683062
60,537.33,0.90014,0.71627,0.94828,0.94727,1,0.97981,0.46736,1.40477,0.77408,1.23099,0.000670201,0.000670201,0.000670201
61,546.436,0.9245,0.71486,0.98015,0.95251,1,0.97981,0.4828,1.43064,0.80533,1.24084,0.00065734,0.00065734,0.00065734
62,555.678,0.93264,0.7047,0.9683,0.96078,1,0.97759,0.50857,1.4416,0.81603,1.23066,0.000644479,0.000644479,0.000644479
63,564.466,0.92081,0.70667,0.96566,0.96525,1,0.97981,0.50578,1.38913,0.80606,1.19869,0.000631618,0.000631618,0.000631618
64,573.317,0.89301,0.72423,0.96662,0.9553,1,0.98426,0.51511,1.3963,0.83405,1.1916,0.000618757,0.000618757,0.000618757
65,582.128,0.8871,0.70159,0.97007,0.9462,0.99534,0.99074,0.53226,1.46287,0.84023,1.225,0.000605896,0.000605896,0.000605896
66,590.914,0.87088,0.71291,0.96412,0.86876,1,0.98852,0.4732,1.5812,0.88807,1.27822,0.000593035,0.000593035,0.000593035
67,599.759,0.89041,0.70705,0.95594,0.92902,0.99867,0.9787,0.45147,1.61544,0.89194,1.30145,0.000580174,0.000580174,0.000580174
68,608.35,0.96067,0.71128,0.9835,0.95026,1,0.97759,0.46488,1.53191,0.868,1.27479,0.000567313,0.000567313,0.000567313
69,617.253,0.91524,0.67663,0.94353,0.93808,1,0.97759,0.47092,1.46147,0.84514,1.25351,0.000554452,0.000554452,0.000554452
70,625.95,0.89984,0.6909,0.94259,0.92465,1,0.97759,0.49093,1.4341,0.80783,1.22973,0.000541591,0.000541591,0.000541591
71,634.643,0.92404,0.68856,0.94334,0.93018,1,0.98093,0.47602,1.44313,0.80497,1.22505,0.00052873,0.00052873,0.00052873
72,643.415,0.83434,0.66813,0.9318,0.93556,1,0.98537,0.48413,1.46357,0.80328,1.24696,0.000515869,0.000515869,0.000515869
73,655.18,0.83912,0.65496,0.92944,0.93732,1,0.9863,0.49221,1.45727,0.80353,1.25604,0.000503008,0.000503008,0.000503008
74,668.343,0.87387,0.67628,0.97128,0.93395,1,0.98537,0.49595,1.39913,0.76986,1.24138,0.000490147,0.000490147,0.000490147
75,678.552,0.8806,0.67508,0.94051,0.94169,1,0.9863,0.49137,1.36903,0.76464,1.2311,0.000477286,0.000477286,0.000477286
76,687.269,0.87586,0.68991,0.94641,0.9548,1,0.98741,0.48315,1.36096,0.76168,1.22818,0.000464425,0.000464425,0.000464425
77,695.974,0.8559,0.66483,0.94212,0.95178,1,0.98852,0.50434,1.38311,0.74653,1.22627,0.000451564,0.000451564,0.000451564
78,704.644,0.91199,0.6515,0.97302,0.95027,1,0.98963,0.47367,1.40217,0.75439,1.2118,0.000438703,0.000438703,0.000438703
79,713.37,0.8697,0.63806,0.95796,0.94662,1,0.99074,0.48329,1.38464,0.7649,1.19335,0.000425842,0.000425842,0.000425842
80,722.024,0.84335,0.64433,0.93255,0.94959,1,0.99296,0.51142,1.36874,0.76039,1.19415,0.000412981,0.000412981,0.000412981
81,730.723,0.85923,0.66985,0.94313,0.95467,1,0.99407,0.51172,1.38068,0.76165,1.19786,0.00040012,0.00040012,0.00040012
82,739.918,0.88163,0.67947,0.95725,0.95704,1,0.995,0.49925,1.42492,0.76579,1.22107,0.000387259,0.000387259,0.000387259
83,748.87,0.88046,0.64903,0.9507,0.9568,1,0.995,0.47457,1.46871,0.75409,1.24237,0.000374398,0.000374398,0.000374398
84,757.738,0.83154,0.61895,0.93167,0.9545,1,0.99407,0.46739,1.50911,0.75234,1.25803,0.000361537,0.000361537,0.000361537
85,766.826,0.83838,0.62626,0.94003,0.95241,1,0.99296,0.48361,1.48563,0.73967,1.24735,0.000348676,0.000348676,0.000348676
86,775.686,0.83449,0.62807,0.94918,0.95683,1,0.99185,0.49364,1.43983,0.74875,1.23189,0.000335815,0.000335815,0.000335815
87,784.678,0.85075,0.62344,0.95282,0.95854,0.98947,0.98963,0.52137,1.40213,0.74162,1.21221,0.000322954,0.000322954,0.000322954
88,793.502,0.82254,0.61184,0.93784,0.95749,0.99009,0.98852,0.53098,1.40752,0.73392,1.21346,0.000310093,0.000310093,0.000310093
